,click,purchase,101,121,122,124,125,126,127,128,129,205,206,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853
0,0,0,1,1,1,1,1,0,1,1,1,0,27,66,133,37,18,15,12,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.3333,0.2391,0.0
1,0,0,1,1,1,1,1,0,1,1,1,0,24,0,18178,33,16,0,11,17,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.3706,0.1993,0.412,0.2754
2,0,0,1,1,1,1,1,0,1,1,1,19828,12,12566,21774,7284,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
3,0,0,1,1,1,1,1,0,1,1,1,0,8,66,82,0,6,15,0,19,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4385,0.3333,0.0,0.2343
4,0,0,1,1,1,1,1,0,1,1,1,57375,17,51854,80,0,13,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.2876,0.0,0.0,0.0
5,0,0,1,1,1,1,1,0,1,1,1,2315,604,2451,27794,464,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
6,0,0,1,1,1,1,1,0,1,1,1,5937,12,6119,21773,3389,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
7,0,0,1,1,1,1,1,0,1,1,1,16948,32,16751,2389,9598,120,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.0,0.0
8,0,0,1,1,1,1,1,0,1,1,1,12291,13,12299,5817,7126,10,0,0,2109,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.3706,0.0,0.0,0.3389
9,0,0,1,1,1,1,1,0,1,1,1,85443,35,74701,11285,96,22,0,3753,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.0797,0.0
10,0,0,1,1,1,1,1,0,1,1,1,148344,743,71166,10471,789,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
11,0,0,1,1,1,1,1,0,1,1,1,0,5,66,0,0,4,15,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.3706,0.3333,0.1594,0.0
12,0,0,1,1,1,1,1,0,1,1,1,7482,73,7675,1459,0,45,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.0,0.0,0.0
13,0,0,1,1,1,1,1,0,1,1,1,0,27,66,107,62,18,15,20,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.3333,0.185,0.0
14,0,0,1,1,1,1,1,0,1,1,1,0,58,38612,15884,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
15,0,0,1,1,1,1,1,0,1,1,1,281144,27,100611,182,7620,18,0,3806,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.0,0.0797,0.0
16,0,0,1,1,1,1,1,0,1,1,1,0,78,38612,61456,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
17,0,0,1,1,1,1,1,0,1,1,1,0,41,0,3014,31795,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
18,0,0,1,1,1,1,1,0,1,1,1,676,237,780,15772,501,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
19,0,0,1,1,1,1,1,0,1,1,1,15004,657,27,0,19,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
20,0,0,1,1,1,1,1,0,1,1,1,0,58,167092,1736,0,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
21,0,0,1,1,1,1,1,0,1,1,1,157436,12,123776,3073,12808,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
22,1,0,1,1,1,1,1,0,1,1,1,0,9,0,79,2,7,0,1,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4568,0.3152,0.49,0.09186
23,0,0,1,1,1,1,1,0,1,1,1,0,27,160185,66323,0,18,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.0,0.0,0.0
24,0,0,1,1,1,1,1,0,1,1,1,6199,66,6383,3226,3834,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
25,0,0,1,1,1,1,1,0,1,1,1,9094,48,9280,10819,5452,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
26,0,0,1,1,1,1,1,0,1,1,1,58737,740,53022,56004,7881,392,0,0,16381,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.3022,0.0,0.0,0.0378
27,0,0,1,1,1,1,1,0,1,1,1,58590,12,52892,3064,27082,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
28,0,0,1,1,1,1,1,0,1,1,1,0,12,149401,24030,3695,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
29,0,0,1,1,1,1,1,0,1,1,1,96191,12,82681,102,3695,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
